ABRAMS CAPITAL MANAGEMENT LP,0001358706
AKRE CAPITAL MANAGEMENT LLC,0001112520
APPALOOSA LP,0001656456
ARIEL INVESTMENTS LLC,0000936753
ARK INVESTMENT MANAGEMENT LLC,0001697748
AUXIER ASSET MANAGEMENT,0001105863
BAILLIE GIFFORD CO,0001088875
BARON FINANCIAL GROUP LLC,0001832093
BARROW HANLEY MEWHINNEY STRAUSS LLC,0000313028
BAUPOST GROUP LLC,0001061768
BERKSHIRE HATHAWAY INC,0001067983
BILL MELINDA GATES FOUNDATION TRUST,0001166559
BLACKROCK INC,0001364742
BRAGG FINANCIAL ADVISORS INC,0001327055
BRANDES INVESTMENT PARTNERS LP,0001015079
BRAVE WARRIOR ADVISORS LLC,0001553733
BRIDGEWATER ASSOCIATES LP,0001350694
BRUCE CO INC,0001358331
CAPITAL GROWTH MANAGEMENT LP,0000868491
CAUSEWAY CAPITAL MANAGEMENT LLC,0001165797
CAXTON ASSOCIATES LP,0000872573
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,0000884546
CHOU ASSOCIATES MANAGEMENT INC,0001389403
COATUE MANAGEMENT LLC,0001135730
DAILY JOURNAL CORP,0000783412
DALAL STREET LLC,0001549575
DAVIS SELECTED ADVISERS,0001036325
DIAMOND HILL CAPITAL MANAGEMENT INC,0001217541
DODGE COX,0000200217
DONALD SMITH CO INC,0000814375
DUQUESNE FAMILY OFFICE LLC,0001536411
EATON VANCE MANAGEMENT,0001076598
FAIRFAX FINANCIAL HOLDINGS LTD,0000915191
FAIRHOLME CAPITAL MANAGEMENT LLC,0001056831
FIRST EAGLE INVESTMENT MANAGEMENT LLC,0001325447
FIRST PACIFIC ADVISORS LP,0001377581
FISHER ASSET MANAGEMENT LLC,0000850529
FMR LLC,0000315066
GAMCO INVESTORS INC ET AL 1,0000807249
GENERATION INVESTMENT MANAGEMENT LLP,0001375534
GEODE CAPITAL MANAGEMENT LLC,0001214717
GLENVIEW CAPITAL MANAGEMENT LLC,0001138995
GOTHAM ASSET MANAGEMENT LLC,0001510387
GREENLIGHT CAPITAL INC,0001079114
HARRIS ASSOCIATES L P,0000813917
HENNESSY ADVISORS INC,0001145255
HHLR ADVISORS LTD,0001762304
HILLMAN CAPITAL MANAGEMENT INC,0001314620
HIMALAYA CAPITAL MANAGEMENT LLC,0001709323
HOTCHKIS WILEY CAPITAL MANAGEMENT LLC,0001164833
HUSSMAN STRATEGIC ADVISORS INC,0001179475
ICAHN CARL C,0000921669
INVESCO LTD,0000914208
JANA PARTNERS LLC,0001159159
JEFFERIES FINANCIAL GROUP INC,0000096223
JOHO CAPITAL LLC,0001106500
KAHN BROTHERS GROUP INC,0001039565
KEELEYTETON ADVISORS LLC,0001700530
LEITH WHEELER INVESTMENT COUNSEL LTD,0001353651
LONE PINE CAPITAL LLC,0001061165
MAIRS POWER INC,0001070134
MARATHON PARTNERS EQUITY MANAGEMENT LLC,0001353311
MARKEL CORP,0001096343
MATTHEWS INTERNATIONAL CAPITAL MANAGEMENT LLC,0001028074
MAVERICK CAPITAL LTD,0000934639
MAWER INVESTMENT MANAGEMENT LTD,0001538449
MILLER VALUE PARTNERS LLC,0001135778
MOORE CAPITAL MANAGEMENT LP,0001448574
MORGAN STANLEY,0000895421
MSD CAPITAL L P,0001105497
MUHLENKAMP CO INC,0001133219
NIERENBERG INVESTMENT MANAGEMENT COMPANY INC,0001282683
NORTHERN TRUST CORP,0000073124
OAKTREE CAPITAL MANAGEMENT LP,0000949509
OLSTEIN CAPITAL MANAGEMENT LP,0000947996
PAULSON CO INC,0001035674
PENNANT INVESTORS LP,0001759176
PERSHING SQUARE CAPITAL MANAGEMENT LP,0001336528
POINT72 ASSET MANAGEMENT LP,0001603466
POLARIS CAPITAL MANAGEMENT LLC,0001316926
PRIMECAP MANAGEMENT CO,0000763212
PZENA INVESTMENT MANAGEMENT LLC,0001027796
RENAISSANCE TECHNOLOGIES LLC,0001037389
ROYCE ASSOCIATES LP,0000906304
RUANE CUNNIFF GOLDFARB LP,0001720792
SANDS CAPITAL MANAGEMENT LLC,0001020066
SCION ASSET MANAGEMENT LLC,0001649339
SIGNATUREFD LLC,0001456048
SMEAD CAPITAL MANAGEMENT INC,0001427008
SOROS FUND MANAGEMENT LLC,0001029160
SOUTHEASTERN ASSET MANAGEMENT INC,0000807985
STATE STREET CORP,0000093751
TEMASEK HOLDINGS PRIVATE LTD,0001021944
THIRD AVENUE MANAGEMENT LLC,0001099281
THIRD POINT LLC,0001040273
TIGER GLOBAL MANAGEMENT LLC,0001167483
TIGER MANAGEMENT LLC,0001027451
TRIAN FUND MANAGEMENT LP,0001345471
TUDOR INVESTMENT CORP ET AL,0000923093
TWEEDY BROWNE CO LLC 1,0000732905
VALUEACT HOLDINGS LP,0001418814
VAN DEN BERG MANAGEMENT I INC,0001142062
VANGUARD GROUP INC,0000102909
VIKING GLOBAL INVESTORS LP,0001103804
WASATCH ADVISORS INC,0000814133
WEDGEWOOD PARTNERS INC,0000859804
WEITZ INVESTMENT MANAGEMENT INC,0000883965
WELLINGTON MANAGEMENT GROUP LLP,0000902219
YACKTMAN ASSET MANAGEMENT LP,0000905567
YALE UNIVERSITY,0000938582
